run_id,timestamp,phase,simulation_count,provider,forecast_mode,finalist_team_1,finalist_team_2,probability
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,France,0.2607
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,Spain,0.1824
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,France,0.1689
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,Spain,0.1195
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Switzerland,0.0507
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Norway,0.049
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,Belgium,0.0461
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,Switzerland,0.0368
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,Spain,0.036
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,England,0.0305
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,Switzerland,0.0107
2026-07-10T060556Z-428e59f3,2026-07-10T06:08:19+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,Norway,0.0087
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,France,0.2607
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,Spain,0.1824
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,France,0.1689
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,Spain,0.1195
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Switzerland,0.0507
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Norway,0.049
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,Belgium,0.0461
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,Switzerland,0.0368
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,Spain,0.036
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,England,0.0305
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,Switzerland,0.0107
2026-07-10T065046Z-a7edab47,2026-07-10T06:52:42+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Belgium,Norway,0.0087
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,Spain,0.2674
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Argentina,France,0.2066
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,Spain,0.1782
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,England,France,0.142
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Norway,Spain,0.0594
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,Spain,Switzerland,0.0577
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Switzerland,0.0449
2026-07-11T000104Z-9ca35133,2026-07-11T00:02:43+00:00,quarterfinal,10000,football_data_org,true_live_forecast,France,Norway,0.0438
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,football_data_org,true_live_forecast,Argentina,Spain,0.6081
2026-07-14T210550Z-f6872a12,2026-07-14T21:07:08+00:00,semifinal,10000,football_data_org,true_live_forecast,England,Spain,0.3919
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,football_data_org,true_live_forecast,Argentina,Spain,0.6081
2026-07-14T235611Z-10c659fc,2026-07-14T23:57:46+00:00,semifinal,10000,football_data_org,true_live_forecast,England,Spain,0.3919
